hp,dp,ap,hAmt,dAmt,aAmt,fairH,fairD,fairA,finalH,finalD,finalA,liabilityH,liabilityD,liabilityA,pnlH,pnlD,pnlA,maxLoss,riskRatio,hhi,entropy,dominance
0.0000,0.0000,1.0000,0,0,10000000,Inf,Inf,1.000,999.000,999.000,0.920,0,0,9200000,10000000,10000000,800000,800000,0.9200,1.0000,0.0000,extreme
0.0000,0.0500,0.9500,0,500000,9500000,Inf,20.000,1.053,999.000,18.398,0.968,0,9199190,9200000,10000000,800810,800000,800000,0.9200,0.9050,0.2864,extreme
0.0000,0.1000,0.9000,0,1000000,9000000,Inf,10.000,1.111,999.000,9.200,1.022,0,9199687,9200000,10000000,800313,800000,800000,0.9200,0.8200,0.4690,extreme
0.0000,0.1500,0.8500,0,1500000,8500000,Inf,6.667,1.176,999.000,6.133,1.082,0,9199853,9200000,10000000,800147,800000,800000,0.9200,0.7450,0.6098,extreme
0.0000,0.2000,0.8000,0,2000000,8000000,Inf,5.000,1.250,999.000,4.600,1.150,0,9199936,9200000,10000000,800064,800000,800000,0.9200,0.6800,0.7219,extreme
0.0000,0.2500,0.7500,0,2500000,7500000,Inf,4.000,1.333,999.000,3.680,1.227,0,9199985,9200000,10000000,800015,800000,800000,0.9200,0.6250,0.8113,heavy
0.0000,0.3000,0.7000,0,3000000,7000000,Inf,3.333,1.429,999.000,3.067,1.314,0,9200000,9200000,10000000,800000,800000,800000,0.9200,0.5800,0.8813,heavy
0.0000,0.3500,0.6500,0,3500000,6500000,Inf,2.857,1.538,999.000,2.629,1.415,0,9200000,9200000,10000000,800000,800000,800000,0.9200,0.5450,0.9341,heavy
0.0000,0.4000,0.6000,0,4000000,6000000,Inf,2.500,1.667,999.000,2.300,1.533,0,9200000,9200000,10000000,800000,800000,800000,0.9200,0.5200,0.9710,heavy
0.0000,0.4500,0.5500,0,4500000,5500000,Inf,2.222,1.818,999.000,2.044,1.673,0,9200000,9200000,10000000,800000,800000,800000,0.9200,0.5050,0.9928,moderate
0.0000,0.5000,0.5000,0,5000000,5000000,Inf,2.000,2.000,999.000,1.840,1.840,0,9200000,9200000,10000000,800000,800000,800000,0.9200,0.5000,1.0000,moderate
0.0000,0.5500,0.4500,0,5500000,4500000,Inf,1.818,2.222,999.000,1.673,2.044,0,9200000,9200000,10000000,800000,800000,800000,0.9200,0.5050,0.9928,moderate
0.0000,0.6000,0.4000,0,6000000,4000000,Inf,1.667,2.500,999.000,1.533,2.300,0,9200000,9200000,10000000,800000,800000,800000,0.9200,0.5200,0.9710,heavy
0.0000,0.6500,0.3500,0,6500000,3500000,Inf,1.538,2.857,999.000,1.415,2.629,0,9200000,9200000,10000000,800000,800000,800000,0.9200,0.5450,0.9341,heavy
0.0000,0.7000,0.3000,0,7000000,3000000,Inf,1.429,3.333,999.000,1.314,3.067,0,9200000,9200000,10000000,800000,800000,800000,0.9200,0.5800,0.8813,heavy
0.0000,0.7500,0.2500,0,7500000,2500000,Inf,1.333,4.000,999.000,1.227,3.680,0,9200000,9199978,10000000,800000,800022,800000,0.9200,0.6250,0.8113,heavy
0.0000,0.8000,0.2000,0,8000000,2000000,Inf,1.250,5.000,999.000,1.150,4.600,0,9200000,9199926,10000000,800000,800074,800000,0.9200,0.6800,0.7219,extreme
0.0000,0.8500,0.1500,0,8500000,1500000,Inf,1.176,6.667,999.000,1.082,6.133,0,9200000,9199841,10000000,800000,800159,800000,0.9200,0.7450,0.6098,extreme
0.0000,0.9000,0.1000,0,9000000,1000000,Inf,1.111,10.000,999.000,1.022,9.200,0,9200000,9199669,10000000,800000,800331,800000,0.9200,0.8200,0.4690,extreme
0.0000,0.9500,0.0500,0,9500000,500000,Inf,1.053,20.000,999.000,0.968,18.398,0,9200000,9199154,10000000,800000,800846,800000,0.9200,0.9050,0.2864,extreme
0.0000,1.0000,0.0000,0,10000000,0,Inf,1.000,Inf,999.000,0.920,999.000,0,9200000,0,10000000,800000,10000000,800000,0.9200,1.0000,0.0000,extreme
0.0500,0.0000,0.9500,500000,0,9500000,20.000,Inf,1.053,18.397,999.000,0.968,9198528,0,9200000,801472,10000000,800000,800000,0.9200,0.9050,0.2864,extreme
0.0500,0.0500,0.9000,500000,500000,9000000,20.000,20.000,1.111,18.397,18.398,1.022,9198528,9199190,9200000,801472,800810,800000,800000,0.9200,0.8150,0.5690,extreme
0.0500,0.1000,0.8500,500000,1000000,8500000,20.000,10.000,1.176,18.397,9.200,1.082,9198528,9199687,9200000,801472,800313,800000,800000,0.9200,0.7350,0.7476,extreme
0.0500,0.1500,0.8000,500000,1500000,8000000,20.000,6.667,1.250,18.397,6.133,1.150,9198528,9199853,9200000,801472,800147,800000,800000,0.9200,0.6650,0.8842,extreme
0.0500,0.2000,0.7500,500000,2000000,7500000,20.000,5.000,1.333,18.397,4.600,1.227,9198528,9199936,9200000,801472,800064,800000,800000,0.9200,0.6050,0.9918,heavy
0.0500,0.2500,0.7000,500000,2500000,7000000,20.000,4.000,1.429,18.397,3.680,1.314,9198528,9199985,9200000,801472,800015,800000,800000,0.9200,0.5550,1.0763,heavy
0.0500,0.3000,0.6500,500000,3000000,6500000,20.000,3.333,1.538,18.397,3.067,1.415,9198528,9200000,9200000,801472,800000,800000,800000,0.9200,0.5150,1.1412,heavy
